network,autonomous_system_number,autonomous_system_organization
2401:d002:7708:c400::/54,38195,Superloop
2401:d002:7708:c800::/53,38195,Superloop
2401:d002:7708:d000::/52,38195,Superloop
2401:d002:7708:e000::/51,38195,Superloop
2401:d002:7709::/48,38195,Superloop
2401:d002:770a::/47,38195,Superloop
2401:d002:770c::/46,38195,Superloop
2401:d002:7710::/44,38195,Superloop
2401:d002:7720::/43,38195,Superloop
2401:d002:7740::/42,38195,Superloop
2401:d002:7780::/41,38195,Superloop
2401:d002:7800::/37,38195,Superloop
2401:d002:8000::/34,38195,Superloop
2401:d002:c000::/35,38195,Superloop
2401:d002:e000::/36,38195,Superloop
2401:d002:f000::/38,38195,Superloop
2401:d002:f400::/39,38195,Superloop
2401:d002:f600::/40,38195,Superloop
2401:d002:f700::/45,38195,Superloop
2401:d002:f708::/46,38195,Superloop
2401:d002:f70c::/47,38195,Superloop
2401:d002:f70e::/49,38195,Superloop
2401:d002:f70e:8000::/51,38195,Superloop
2401:d002:f70e:a000::/52,38195,Superloop
2401:d002:f70e:b000::/53,38195,Superloop
